date,state,product,production
2012-01-01,Kedah,logs,304078
2013-01-01,Kedah,logs,227543
2014-01-01,Kedah,logs,293553
2015-01-01,Kedah,logs,353461
2016-01-01,Kedah,logs,457791
2017-01-01,Kedah,logs,449255
2018-01-01,Kedah,logs,252968
2019-01-01,Kedah,logs,162218
2020-01-01,Kedah,logs,85102
2021-01-01,Kedah,logs,127877
2000-01-01,Kedah,moulding,40270
2001-01-01,Kedah,moulding,15028
2002-01-01,Kedah,moulding,19950
2003-01-01,Kedah,moulding,7945
2004-01-01,Kedah,moulding,7999
2005-01-01,Kedah,moulding,17328
2006-01-01,Kedah,moulding,20781
2007-01-01,Kedah,moulding,53994
2008-01-01,Kedah,moulding,27291
2009-01-01,Kedah,moulding,10660
2010-01-01,Kedah,moulding,13307
2011-01-01,Kedah,moulding,14297
2012-01-01,Kedah,moulding,972
2017-01-01,Kedah,moulding,427
2018-01-01,Kedah,moulding,815
2019-01-01,Kedah,moulding,978
2020-01-01,Kedah,moulding,611
2021-01-01,Kedah,moulding,691
2000-01-01,Kedah,plywood,77040
2001-01-01,Kedah,plywood,98941
2002-01-01,Kedah,plywood,130434
2003-01-01,Kedah,plywood,135410
2004-01-01,Kedah,plywood,134628
2005-01-01,Kedah,plywood,161787
2006-01-01,Kedah,plywood,164100
2007-01-01,Kedah,plywood,172541
2008-01-01,Kedah,plywood,195755
2009-01-01,Kedah,plywood,125096
2010-01-01,Kedah,plywood,144728
2011-01-01,Kedah,plywood,133746
2012-01-01,Kedah,plywood,113454
2013-01-01,Kedah,plywood,115246
2014-01-01,Kedah,plywood,111411
2015-01-01,Kedah,plywood,128694
2016-01-01,Kedah,plywood,106729
2017-01-01,Kedah,plywood,130432
2018-01-01,Kedah,plywood,99590
2019-01-01,Kedah,plywood,117891
2020-01-01,Kedah,plywood,70110
2021-01-01,Kedah,plywood,72108
2000-01-01,Kedah,sawn_timber,88846
2001-01-01,Kedah,sawn_timber,79318
2002-01-01,Kedah,sawn_timber,68596
2003-01-01,Kedah,sawn_timber,69302
2004-01-01,Kedah,sawn_timber,61894
2005-01-01,Kedah,sawn_timber,61588
2006-01-01,Kedah,sawn_timber,70483
2007-01-01,Kedah,sawn_timber,59791
2008-01-01,Kedah,sawn_timber,59524
2009-01-01,Kedah,sawn_timber,54884
2010-01-01,Kedah,sawn_timber,72791
2011-01-01,Kedah,sawn_timber,71057
2012-01-01,Kedah,sawn_timber,67340
2013-01-01,Kedah,sawn_timber,44395
2014-01-01,Kedah,sawn_timber,36088
2015-01-01,Kedah,sawn_timber,31557
2016-01-01,Kedah,sawn_timber,34885
2017-01-01,Kedah,sawn_timber,36849
2018-01-01,Kedah,sawn_timber,38353
2019-01-01,Kedah,sawn_timber,42212
2020-01-01,Kedah,sawn_timber,34814
2021-01-01,Kedah,sawn_timber,32500
2000-01-01,Kedah,veneer,3630
2017-01-01,Kedah,veneer,29852
2018-01-01,Kedah,veneer,37686
2019-01-01,Kedah,veneer,16272
