State Name,YEAR,crop_type,Total_Production
Perlis,2017,industrial_crops,2797.4
Perlis,2017,paddy,231328.0
Perlis,2017,vegetables,1288.1
Perlis,2018,coconut,2529.3
Perlis,2018,fruits,24316.9
Perlis,2018,industrial_crops,2592.0
Perlis,2018,paddy,240615.0
Perlis,2018,vegetables,2206.3
Perlis,2019,coconut,3405.0
Perlis,2019,fruits,10580.9
Perlis,2019,industrial_crops,3470.0
Perlis,2019,paddy,209828.0
Perlis,2019,vegetables,2350.0
Perlis,2020,coconut,3360.0
Perlis,2020,fruits,8631.3
Perlis,2020,industrial_crops,3399.3
Perlis,2020,paddy,203275.0
Perlis,2020,vegetables,2023.4
Perlis,2021,coconut,3133.8
Perlis,2021,fruits,6575.4
Perlis,2021,industrial_crops,3149.4
Perlis,2021,paddy,256034.0
Perlis,2021,vegetables,1839.5
Perlis,2022,coconut,4813.9
Perlis,2022,fruits,7744.2
Perlis,2022,industrial_crops,4883.8
Perlis,2022,paddy,233781.0
Perlis,2022,vegetables,2310.0
Pulau Pinang,2017,coconut,248.4
Pulau Pinang,2017,fruits,16590.8
Pulau Pinang,2017,industrial_crops,377.4
Pulau Pinang,2017,paddy,146660.0
Pulau Pinang,2017,vegetables,11218.1
Pulau Pinang,2018,coconut,227.8
Pulau Pinang,2018,fruits,18214.8
Pulau Pinang,2018,industrial_crops,264.3
Pulau Pinang,2018,paddy,133636.0
Pulau Pinang,2018,vegetables,10711.7
Pulau Pinang,2019,coconut,263.1
Pulau Pinang,2019,fruits,24072.2
Pulau Pinang,2019,industrial_crops,280.8
Pulau Pinang,2019,paddy,128127.0
Pulau Pinang,2019,vegetables,10985.8
Pulau Pinang,2020,coconut,245.6
Pulau Pinang,2020,fruits,23743.2
Pulau Pinang,2020,industrial_crops,261.6
Pulau Pinang,2020,paddy,121594.0
Pulau Pinang,2020,vegetables,10323.6
Pulau Pinang,2021,coconut,246.5
Pulau Pinang,2021,fruits,22688.1
Pulau Pinang,2021,industrial_crops,278.8
Pulau Pinang,2021,paddy,136919.0
Pulau Pinang,2021,vegetables,12154.5
Pulau Pinang,2022,coconut,77.8
Pulau Pinang,2022,fruits,23911.1
Pulau Pinang,2022,industrial_crops,86.9
Pulau Pinang,2022,paddy,122321.0
Pulau Pinang,2022,vegetables,8653.9
Sabah,2017,coconut,49335.3
Sabah,2017,fruits,108917.5
Sabah,2017,industrial_crops,54902.3
Sabah,2017,paddy,110936.0
Sabah,2017,vegetables,43623.7
